lag,mean,std
69,0.2014204447499992,0.0
70,0.18901397462499858,0.0
71,0.18547475125878776,0.0
72,0.17817152370605527,0.0
73,0.17596563582910107,0.0
74,0.17721377106835945,0.0
75,0.17535290241503887,0.0
76,0.18052726892480564,0.0
77,0.19182167313964982,0.0
78,0.19823163092285156,0.0
79,0.2096299297158204,0.0
80,0.22091877373046742,0.0
81,0.23306692543554774,0.0
82,0.24904745572167997,0.0
83,0.26397624438769896,0.0
84,0.28046908724121167,0.0
85,0.29481481641992957,0.0
86,0.3065933375107406,0.0
87,0.3187216795498031,0.0
88,0.32582192469238436,0.0
89,0.33469050972656333,0.0
90,0.3370505310273444,0.0
91,0.33920111401562636,0.0
92,0.33618846485546783,0.0
93,0.33267518589453005,0.0
94,0.3250574670585955,0.0
95,0.3186372342461006,0.0
96,0.30442070063086035,0.0
